Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 07/23  14:10:00,1107199.1019218222,1107199.101921822,0.0 
 07/23  14:20:00,1109577.415103466,1109577.415103466,0.0 
 07/23  14:30:00,1112129.3702082767,1112129.3702082767,0.0 
 07/23  14:40:00,1110372.964710965,1110372.964710965,0.0 
 07/23  14:50:00,1108595.0139246064,1108595.0139246062,0.0 
 07/23  15:00:00,1107796.2647041574,1107796.2647041574,0.0 
 07/23  15:10:00,1107722.716698653,1107722.7166986529,0.0 
 07/23  15:20:00,1106859.7126779364,1106859.7126779364,0.0 
 07/23  15:30:00,1106864.6516553569,1106864.6516553569,0.0 
 07/23  15:40:00,1107093.0698121358,1107093.0698121358,0.0 
 07/23  15:50:00,1107334.9223449983,1107334.922344998,0.0 
 07/23  16:00:00,1215310.8518169672,1215310.851816967,0.0 
 07/23  16:10:00,1210859.8286179454,1210859.8286179454,0.0 
 07/23  16:20:00,1220227.0051507676,1220227.0051507676,0.0 
 07/23  16:30:00,1108044.4477100529,1108044.4477100529,0.0 
 07/23  16:40:00,1296427.811162271,1296427.811162271,0.0 
 07/23  16:50:00,1252620.5759554988,1252620.5759554986,0.0 
 07/23  17:00:00,1223627.3399337955,1223627.3399337955,0.0 
 07/23  17:10:00,1108414.5459790682,1108414.545979068,0.0 
 07/23  17:20:00,1235115.597820674,1235115.5978206744,0.0 
 07/23  17:30:00,1199127.577220752,1199127.577220752,0.0 
 07/23  17:40:00,1188805.0008839032,1188805.0008839032,0.0 
 07/23  17:50:00,1110752.772260806,1110752.7722608059,0.0 
 07/23  18:00:00,1206200.9689589805,1206200.9689589802,0.0 
 07/23  18:10:00,1152445.0991670837,1152445.0991670837,0.0 
 07/23  18:20:00,1141941.6085350915,1141941.6085350915,0.0 
 07/23  18:30:00,1125767.6611595408,1125767.6611595408,0.0 
 07/23  18:40:00,1131071.8570677678,1131071.8570677678,0.0 
 07/23  18:50:00,1137116.936098939,1137116.936098939,0.0 
 07/23  19:00:00,1143008.8138302745,1143008.8138302745,0.0 
 07/23  19:10:00,1152316.5622725373,1152316.5622725373,0.0 
 07/23  19:20:00,1159551.100124555,1159551.100124555,0.0 
 07/23  19:30:00,1164586.2816882628,1164586.2816882628,0.0 
 07/23  19:40:00,1167032.978603469,1167032.978603469,0.0 
 07/23  19:50:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  20:00:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  20:10:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  20:20:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  20:30:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  20:40:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  20:50:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  21:00:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  21:10:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  21:20:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  21:30:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  21:40:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  21:50:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  22:00:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  22:10:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  22:20:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  22:30:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  22:40:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  22:50:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  23:00:00,1732412.9026535915,1732412.9026535915,0.0 
 07/23  23:10:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  23:20:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  23:30:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  23:40:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  23:50:00,1546796.3026535917,1546796.3026535917,0.0 
 07/23  24:00:00,1546796.3026535917,1546796.3026535917,0.0 
 07/24  00:10:00,2057674.007499002,2057674.007499002,0.0 
 07/24  00:20:00,2057674.007499002,2057674.007499002,0.0 
 07/24  00:30:00,2057674.007499002,2057674.007499002,0.0 
 07/24  00:40:00,2057674.007499002,2057674.007499002,0.0 
 07/24  00:50:00,2057674.007499002,2057674.007499002,0.0 
 07/24  01:00:00,2057674.007499002,2057674.007499002,0.0 
 07/24  01:10:00,2057674.007499002,2057674.007499002,0.0 
 07/24  01:20:00,2057674.007499002,2057674.007499002,0.0 
 07/24  01:30:00,2057674.007499002,2057674.007499002,0.0 
 07/24  01:40:00,2057674.007499002,2057674.007499002,0.0 
 07/24  01:50:00,2057674.007499002,2057674.007499002,0.0 
 07/24  02:00:00,2057674.007499002,2057674.007499002,0.0 
